model,pre_pr_auc,post_pr_auc,lift_pr_auc_%,pre_f1_score,post_f1_score,lift_f1_score_%,pre_mcc,post_mcc,lift_mcc_%,pre_recall,post_recall,lift_recall_%,pre_roc_auc,post_roc_auc,lift_roc_auc_%
xgboost,0.9456639990210464,0.8931576316780121,-5.55232803589742,0.85326695706285,0.6709818295250721,-21.363200113273713,0.8613011097937484,0.6994923870350223,-18.78654525331724,0.7494534324442501,0.9405334499344119,25.49591598599767,0.9997892617905085,0.9968199893095758,-0.2969898351993776
lightgbm,0.8346278538078996,0.8580767690847844,2.8095054783879547,0.8271253557728004,0.6353842816860675,-23.181622078020474,0.8340984875826585,0.6743035511305242,-19.157801965957734,0.7306515085264539,0.9606471359860078,31.478156792339906,0.9745804287424277,0.9982216298672274,2.4257824626445346
catboost,0.8827526525817411,0.8844504368025122,0.19232841904306233,0.22639639193140704,0.5771076079506511,154.9102496852077,0.3541268735492376,0.6208222469352297,75.31068475911951,0.9986882378662003,0.9204197638828159,-7.837127845884422,0.9993554145722665,0.9993146247354624,-0.004081614629723096
logistic_regression,0.0676331219577191,0.4506206483441113,566.2721390058219,0.0829843928435477,0.4908554572271386,491.50334226407944,0.1228553023187038,0.5231096078492116,325.79326897278895,0.0476606908613904,0.3637953651071272,663.302752293578,0.8024179908570823,0.9472998610492464,18.055660745768197
svm_rbf,0.5860954347087827,0.0379400759405833,-93.52663854830486,0.1580922098569157,0.0812047907031898,-48.63454007209733,0.2630884221240842,0.173120790903496,-34.19672766069324,0.815260166156537,0.7485789243550502,-8.179136497720574,0.9817302520268212,0.946537638675468,-3.58475388516313
decision_tree,0.7033585812634227,0.0150361237842757,-97.86223923545984,0.8169014084507042,0.0431932294064767,-94.71255295196578,0.8304770249169103,0.1113142313944446,-86.59635028367201,0.6910800174901618,0.6460428508963708,-6.5169250237266665,0.9754419023596774,0.7680156324587402,-21.264851284239008
random_forest,0.9001944071686535,0.7576669960032909,-15.83295897312321,0.8533599800149888,0.7359742610094511,-13.755709402200456,0.8619083079808213,0.7376796178469814,-14.413214141637456,0.7468299081766506,0.80017490161784,7.142857142857148,0.988878001915292,0.9856190961506364,-0.3295558965154081
hist_gradient_boosting,0.9441320971708532,0.9327721294243264,-1.2032180433826594,0.486437516653344,0.8662959381044487,78.08986939669128,0.5650468688103386,0.8709273299922479,54.133644139275795,0.9978137297770004,0.7833406209007433,-21.494303242769504,0.999788642377972,0.9996962786115468,-0.0092383292338057
isolation_forest,0.0085438790640328,0.0085438790640328,0.0,0.0200349465128598,0.0227612480108019,13.607730353520894,0.0427212895799726,0.0356835046274589,-16.47371842401707,0.2770004372540446,0.154787931788369,-44.11996842936069,0.7994923294964131,0.7994923294964131,0.0
autoencoder,0.0121397965466039,0.0097460752885941,-19.717968491649778,0.0133024750835848,0.030641780616828,130.34646127351,0.054677262970465,0.0322664899960197,-40.98737163663611,0.7772190642763446,0.0671184958460865,-91.36427566807316,0.8169732570392766,0.8043368151074983,-1.5467387485329591
stacking_ensemble,0.0,0.9153556595393579,,0.0,0.6209279368213229,,0.0,0.6631686030026356,,0.0,0.9626147791867075,,0.0,0.9995998582383651,
